origin_iso3,hs4,partner_iso3,destination_gnn_logit,destination_gnn_score,supply_gnn_logit,supply_gnn_score,market_data_available,destination_import_value,destination_import_growth,market_concentration,competitor_count,mkd_existing_export_value,mkd_historical_export_value,mkd_bilateral_trade,gravity_data_available,distance,contiguous,common_language,fta,macro_data_available,destination_gdp,destination_gdp_pc,destination_population,mkd_supply_capacity,mkd_supply_growth,tariff_data_available,tariff_rate,section,score,rank,ranking_score,predicted_probability,probability_lower,probability_upper,average_rank,rank_std,rank_stability,ensemble_score,ensemble_rank,ensemble_method
MKD,2620,HRV,0.484789,0.618878,0.331019,0.582007,1.000000,870173.000000,2.349602,0.444176,6.000000,0.000000,0.000000,692429619.100000,1.000000,609.000000,0.000000,0.000000,1.000000,1.000000,61668280700.096802,15460.456080,3988775.000000,13084436.000000,0.088411,0.000000,0.000000,26,0.864696,24,20.786728,0.864696,0.056487,1.000000,1735.190476,4106.087555,0.000243,0.864696,24,validation_pairwise_bootstrap
MKD,0709,CHN,0.589015,0.643139,0.343121,0.584948,1.000000,85755413.000000,2.065112,0.793758,15.000000,0.000000,0.000000,2065915196.610000,1.000000,8507.000000,0.000000,0.000000,0.000000,1.000000,14147765772963.800781,10085.663815,1402760000.000000,17814756.000000,0.108575,0.000000,0.000000,07,0.886482,25,20.754614,0.886482,0.005762,1.000000,2577.571429,6714.746796,0.000149,0.886482,25,validation_pairwise_bootstrap
MKD,2515,POL,0.514012,0.625746,0.312987,0.577614,1.000000,1829837.000000,1.039921,0.374964,26.000000,12293.370000,21984.590000,804102734.300000,1.000000,1138.000000,0.000000,0.000000,1.000000,1.000000,594616632477.019043,15658.210587,37974750.000000,40051791.000000,0.113118,0.000000,0.000000,25,0.866173,26,20.641316,0.866173,0.006109,1.000000,2399.666667,9096.814839,0.000110,0.866173,26,validation_pairwise_bootstrap
MKD,4102,SRB,0.440181,0.608302,0.335123,0.583005,1.000000,692657.000000,1.609688,0.278133,11.000000,35451.790000,81886.960000,3684071029.560000,1.000000,323.000000,1.000000,0.000000,0.000000,1.000000,52787520248.924202,7559.861657,6982604.000000,1493589.000000,-0.025049,0.000000,0.000000,41,0.865080,27,20.623739,0.865080,0.083886,1.000000,1267.761905,2737.238736,0.000365,0.865080,27,validation_pairwise_bootstrap
MKD,8606,SVN,0.433101,0.606614,0.318375,0.578928,1.000000,11177585.200000,3.391737,0.665711,6.000000,0.000000,0.000000,817175729.910000,1.000000,714.000000,0.000000,0.000000,1.000000,1.000000,53689067639.917603,25888.048107,2073894.000000,0.000000,0.000000,0.000000,0.000000,86,0.903148,28,20.517974,0.903148,0.448603,1.000000,5158.142857,12505.329874,0.000080,0.903148,28,validation_pairwise_bootstrap
MKD,7804,SVN,0.428845,0.605598,0.325564,0.580680,1.000000,4774515.040000,2.427944,0.158857,20.000000,0.000000,227541.250000,817175729.910000,1.000000,714.000000,0.000000,0.000000,1.000000,1.000000,53689067639.917603,25888.048107,2073894.000000,792.000000,-0.127999,0.000000,0.000000,78,0.875471,29,20.517382,0.875471,0.160059,1.000000,1942.619048,3869.346585,0.000258,0.875471,29,validation_pairwise_bootstrap
MKD,2603,TUR,0.496810,0.621709,0.308303,0.576471,1.000000,148129441.000000,1.796736,0.521638,16.000000,0.000000,0.000000,1717497910.950000,1.000000,637.000000,0.000000,0.000000,1.000000,1.000000,788356985773.666992,9684.118199,81407204.000000,63822787.000000,0.127549,0.000000,0.000000,26,0.872144,30,20.482415,0.872144,0.011972,1.000000,2707.047619,8553.787451,0.000117,0.872144,30,validation_pairwise_bootstrap
MKD,7404,DEU,0.639169,0.654566,0.429829,0.605833,1.000000,2944282635.839000,0.058242,0.072132,124.000000,24312.900000,122889.760000,11127176930.459999,1.000000,1316.000000,0.000000,0.000000,1.000000,1.000000,4055433215301.959961,48916.168661,82905782.000000,13492756.000000,0.191584,0.000000,0.000000,74,0.842612,31,20.461022,0.842612,0.000077,1.000000,2594.904762,8953.433914,0.000112,0.842612,31,validation_pairwise_bootstrap
MKD,8604,HRV,0.461351,0.613335,0.296145,0.573500,1.000000,5134095.000000,3.274382,0.767275,5.000000,0.000000,0.000000,692429619.100000,1.000000,609.000000,0.000000,0.000000,1.000000,1.000000,61668280700.096802,15460.456080,3988775.000000,0.000000,0.000000,0.000000,0.000000,86,0.907923,32,20.420664,0.907923,0.559148,1.000000,5932.380952,13370.753900,0.000075,0.907923,32,validation_pairwise_bootstrap
MKD,2619,SRB,0.436279,0.607372,0.324198,0.580347,1.000000,4405518.000000,1.522247,0.849251,5.000000,12736.500000,12736.500000,3684071029.560000,1.000000,323.000000,1.000000,0.000000,0.000000,1.000000,52787520248.924202,7559.861657,6982604.000000,1004706.000000,0.113928,0.000000,0.000000,26,0.863219,33,20.404791,0.863219,0.070280,1.000000,2014.761905,5725.403366,0.000175,0.863219,33,validation_pairwise_bootstrap
