hs4,gnn_logit,gnn_score,score,density,pci,cog,complexity_gain,section,rank,global_demand_value,global_demand_growth,global_market_concentration,historical_active_years,historical_export_persistence,supply_capacity,gnn_logit_percentile,gnn_score_percentile,density_percentile,pci_percentile,cog_percentile,global_demand_value_percentile,global_demand_growth_percentile,supply_capacity_percentile,adamic_adar,jaccard,cn,pref_attach,ranking_score,predicted_probability,probability_lower,probability_upper,average_rank,rank_std,rank_stability,ensemble_score,ensemble_rank,ensemble_method
6503,0.310016,0.576889,0.022225,0.151730,-1.022642,0.165306,,65,25,169409194.000000,0.010158,0.314035,16.000000,13.000000,1769290,0.571429,0.571429,0.820106,0.134392,0.216931,0.080423,0.544974,0.233862,,,,,-248.810346,0.022225,0.020055,0.023143,27.285714,9.636947,0.094012,0.022225,25,validation_pairwise_bootstrap
6502,0.301518,0.574814,0.022238,0.130930,-0.545802,0.196156,,65,26,18258584.000000,-0.058036,0.282385,4.000000,2.000000,1769290,0.372487,0.372487,0.627513,0.184127,0.238095,0.010582,0.113228,0.233862,,,,,-248.810897,0.022238,0.020955,0.022906,27.000000,7.678045,0.115233,0.022238,26,validation_pairwise_bootstrap
5103,0.318986,0.579077,0.022062,0.149631,-0.774039,0.131419,,51,27,127652683.000000,0.000812,0.080746,12.000000,8.000000,3148169,0.744974,0.744974,0.812698,0.161905,0.189418,0.065608,0.427513,0.296296,0.000000,0.000000,0.000000,54093.000000,-248.846649,0.022062,0.020577,0.023186,28.952381,6.098214,0.140881,0.022062,27,validation_pairwise_bootstrap
7008,0.294010,0.572978,0.022090,0.147551,2.330004,0.827811,,70,28,1810654154.000000,0.052251,0.090288,17.000000,15.000000,14556130,0.232804,0.232804,0.792593,0.725926,0.728042,0.420106,0.864550,0.566138,,,,,-248.850128,0.022090,0.021093,0.022942,28.523810,6.130478,0.140243,0.022090,28,validation_pairwise_bootstrap
5508,0.316603,0.578496,0.021949,0.154316,-0.115412,0.188326,,55,29,702815150.000000,-0.039107,0.370047,19.000000,19.000000,14429485,0.711111,0.711111,0.839153,0.231746,0.227513,0.233862,0.176720,0.551323,,,,,-248.854722,0.021949,0.020262,0.023233,30.190476,9.434582,0.095835,0.021949,29,validation_pairwise_bootstrap
3809,0.313936,0.577846,0.022004,0.144264,1.792991,0.656535,,38,30,4467873368.000000,0.025019,0.053311,18.000000,18.000000,1221685981,0.655026,0.655026,0.764021,0.598942,0.568254,0.594709,0.705820,0.989947,,,,,-248.855766,0.022004,0.020829,0.022883,29.523810,5.288073,0.159031,0.022004,30,validation_pairwise_bootstrap
0708,0.332511,0.582370,0.021801,0.193767,-2.409527,-0.387104,,07,31,1316341382.000000,0.017062,0.081401,19.000000,19.000000,66756171,0.895238,0.895238,0.996825,0.043386,0.013757,0.354497,0.619048,0.735979,,,,,-248.884928,0.021801,0.020728,0.023356,31.952381,10.661351,0.085753,0.021801,31,validation_pairwise_bootstrap
0706,0.326827,0.580987,0.021671,0.183407,-0.559348,0.019343,,07,32,1934801268.000000,0.045404,0.100851,17.000000,15.000000,66756171,0.839153,0.839153,0.976720,0.182011,0.154497,0.438095,0.840212,0.735979,,,,,-248.916788,0.021671,0.020160,0.022855,33.238095,6.781661,0.128507,0.021671,32,validation_pairwise_bootstrap
3820,0.291678,0.572407,0.021373,0.115766,2.236775,0.870186,,38,33,1206970847.000000,0.006205,0.117952,17.000000,13.000000,1221685981,0.192593,0.192593,0.426455,0.700529,0.753439,0.336508,0.502646,0.989947,,,,,-248.976948,0.021373,0.020556,0.022398,36.190476,8.272842,0.107842,0.021373,33,validation_pairwise_bootstrap
5701,0.299132,0.574230,0.021180,0.148518,-0.989774,-0.055341,,57,34,1222915190.000000,-0.056623,0.143288,18.000000,16.000000,272125,0.315344,0.315344,0.804233,0.136508,0.112169,0.342857,0.116402,0.101058,,,,,-248.982515,0.021180,0.019058,0.022433,38.619048,14.360913,0.065100,0.021180,34,validation_pairwise_bootstrap
5807,0.310482,0.577003,0.021366,0.156890,0.683927,0.416585,,58,35,1193995826.000000,0.001303,0.146802,19.000000,19.000000,3441565,0.578836,0.578836,0.851852,0.352381,0.382011,0.331217,0.433862,0.304233,,,,,-248.982682,0.021366,0.020388,0.022360,36.333333,5.194625,0.161430,0.021366,35,validation_pairwise_bootstrap
2507,0.295258,0.573283,0.021221,0.124128,0.888505,0.475823,,25,36,1611897019.000000,-0.002651,0.158828,17.000000,14.000000,63461388,0.260317,0.260317,0.547090,0.395767,0.421164,0.392593,0.402116,0.721164,0.000000,0.000000,0.000000,98696.000000,-249.001409,0.021221,0.020056,0.021874,37.857143,8.345433,0.107004,0.021221,36,validation_pairwise_bootstrap
2610,0.300640,0.574599,0.020609,0.165554,-4.234843,-0.344981,,26,37,2923320553.000000,0.097513,0.464030,9.000000,5.000000,225638866,0.350265,0.350265,0.905820,0.003175,0.021164,0.521693,0.948148,0.792063,0.000000,0.000000,0.000000,63583.000000,-249.052713,0.020609,0.018362,0.023105,46.238095,26.350937,0.036562,0.020609,37,validation_pairwise_bootstrap
4106,0.325121,0.580572,0.020699,0.174699,-3.171007,-0.331197,,41,38,658105248.000000,-0.124393,0.132036,18.000000,18.000000,5423196,0.815873,0.815873,0.943915,0.017989,0.025397,0.226455,0.024339,0.324868,,,,,-249.054267,0.020699,0.017834,0.023123,44.666667,20.837999,0.045792,0.020699,38,validation_pairwise_bootstrap
